roomNumber;dayOfWeek;block;capacity;floor;resourceId;detailCodes
R-007;wednesday;E;30;;R-007_wednesday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;friday;F;30;;R-007_friday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;monday;F;30;;R-007_monday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;saturday;F;30;;R-007_saturday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;sunday;F;30;;R-007_sunday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;thursday;F;30;;R-007_thursday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;tuesday;F;30;;R-007_tuesday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;wednesday;F;30;;R-007_wednesday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;friday;G;30;;R-007_friday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;monday;G;30;;R-007_monday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;saturday;G;30;;R-007_saturday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;sunday;G;30;;R-007_sunday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;thursday;G;30;;R-007_thursday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;tuesday;G;30;;R-007_tuesday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;wednesday;G;30;;R-007_wednesday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-008A;friday;A;25;;R-008A_friday_A;AUDA,DATA,DELT,TMAN,TMTC
R-008A;monday;A;25;;R-008A_monday_A;AUDA,DATA,DELT,TMAN,TMTC
R-008A;saturday;A;25;;R-008A_saturday_A;AUDA,DATA,DELT,TMAN,TMTC
R-008A;sunday;A;25;;R-008A_sunday_A;AUDA,DATA,DELT,TMAN,TMTC
R-008A;thursday;A;25;;R-008A_thursday_A;AUDA,DATA,DELT,TMAN,TMTC
R-008A;tuesday;A;25;;R-008A_tuesday_A;AUDA,DATA,DELT,TMAN,TMTC
R-008A;wednesday;A;25;;R-008A_wednesday_A;AUDA,DATA,DELT,TMAN,TMTC
R-008A;friday;B;25;;R-008A_friday_B;AUDA,DATA,DELT,TMAN,TMTC
R-008A;monday;B;25;;R-008A_monday_B;AUDA,DATA,DELT,TMAN,TMTC
R-008A;saturday;B;25;;R-008A_saturday_B;AUDA,DATA,DELT,TMAN,TMTC
R-008A;sunday;B;25;;R-008A_sunday_B;AUDA,DATA,DELT,TMAN,TMTC
R-008A;thursday;B;25;;R-008A_thursday_B;AUDA,DATA,DELT,TMAN,TMTC
R-008A;tuesday;B;25;;R-008A_tuesday_B;AUDA,DATA,DELT,TMAN,TMTC
R-008A;wednesday;B;25;;R-008A_wednesday_B;AUDA,DATA,DELT,TMAN,TMTC
R-008A;friday;C;25;;R-008A_friday_C;AUDA,DATA,DELT,TMAN,TMTC
R-008A;monday;C;25;;R-008A_monday_C;AUDA,DATA,DELT,TMAN,TMTC
