termCode;crn;subjCode;crseNumb;title;campus;seats;semester;programsAmount;block;beginTime;endTime;startDate;endDate;monday;tuesday;wednesday;thursday;friday;saturday;sunday;requiredFloor;specialRequirement;crossList;crossListSeats
202520;20805;DACG;00410;Geología Económica Minera;A;20;04;1;F;1800;1930;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20808;DAIQ;00602;React. Químicos y Bioreactores;A;30;06;1;D;1430;1600;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20810;DAMA;00270;Algebra Lineal;A;30;02;1;A;0810;0940;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20810;DAMA;00270;Algebra Lineal;A;30;02;1;A;0810;0940;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20812;DAMA;00271;Geometría Analítica;A;30;02;1;A;0810;0940;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20812;DAMA;00271;Geometría Analítica;A;30;02;1;B;0955;1125;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20812;DAMA;00271;Geometría Analítica;A;30;02;1;B;0955;1125;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20814;EAED;00210;Psicología Educ. y Escolar;A;30;02;3;E;1615;1745;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20814;EAED;00210;Psicología Educ. y Escolar;A;30;02;3;E;1615;1745;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20815;DAIQ;00615;Proc. de Separación por Compon;A;15;06;1;C;1140;1310;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20815;DAIQ;00615;Proc. de Separación por Compon;A;15;06;1;C;1140;1310;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20815;DAIQ;00615;Proc. de Separación por Compon;A;15;06;1;D;1430;1600;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20816;DAIQ;00614;Control Estadístico de Proceso;A;15;06;1;D;1430;1600;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20816;DAIQ;00614;Control Estadístico de Proceso;A;15;06;1;D;1430;1600;18-08-2025;19-12-2025;Y;;;;;;;;;;
